date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20140228	424015	449510	A	   4	Georgia Tech	Megan Kurey         	Florida State	Daniela Schippers   	6-3, 7-5
20140228	384917	444895	H	   4	Miami (FL)	Monique Albuquerque 	Boston College	Jennifer Ren        	6-0, inj.
20140228	430327	448210	A	   4	Virginia Tech	Isel Martinez-Marcos	Syracuse	Valeria Salazar Garza	6-4, 6-3
20140228	406374	420927	A	   4	Wake Forest	Luisa Fernandez     	North Carolina	Whitney Kay         	5-7, 6-4, 1-0 (10-4)
20140228	395910	410833	A	   4	Kennesaw State	Isabela Castro      	Troy	Monica Gonzalez     	6-1, 6-1
20140228	461586	451725	H	   4	Iowa State	Emma Waites         	South Dakota	Yuliya Sidenko      	6-3, 3-6, 1-0(8)
20140228	461586	446242	H	   4	Iowa State	Emma Waites         	Bradley	Sarah Rodefeld      	6-2, 6-0
20140228	427844	454731	H	   4	Kansas	Paulina Los         	Wichita State	Abby Stevens        	6-2, 6-4
20140228	420166	422617	N	   4	TCU	Sofiko Kadzhaya     	Sacramento State	Katharina Knoebl    	6-4, 6-0
20140228	423079	395102	H	   4	Texas	Neda Koprcina       	Houston	Maria Cardenas      	6-1, 6-3
20140228	425327	429195	A	   4	DePaul	Kelsey Lawson       	Northern Illinois	Mary Malkin         	6-4,6-1
20140228	398682	425098	A	   4	Charleston Southern	MiKola Cooper       	Columbia (SC)	Ashley Latham       	6-0, 6-0
20140228	392503	463428	A	   4	Maryland	Nataliya Bredikhina 	Pittsburgh	Amanda Wickman      	6-1, 5-7, 6-3
20140228	392023	460286	A	   4	Drexel	Erin Bowsher        	Penn	Luba Vazhenina      	5-7, 6-0, 12-10
20140228	387627	459926	H	   4	Charlotte	Tyler Baker         	USC Upstate	Sarah Vande Berg    	6-0, 6-0
20140228	435921	404479	H	   4	Middle Tennessee	Flavia Nagayama     	Tennessee State	Attallah Eiland     	6-0, 6-1
20140228	460293	434965	N	   4	UTEP	Gabi Vazquez        	Sam Houston	Madeleine Mortimore 	4-6, 7-6 (7-0) retired
20140228	438583	459439	A	   4	Cleveland State	Mathilde Orange     	Saint Louis	Brooke Urzendowski  	6-4, 6-3
20140228	426282	397386	H	   4	Columbia	Crystal Leung       	Kansas State	Livia Cirnu         	6-2, 6-1
20140228	456475	452630	H	   4	Princeton	Dorothy Tang        	Stony Brook	Nadia Smergut       	7-5, 6-2
20140228	456475	421064	H	   4	Princeton	Dorothy Tang        	Seton Hall	Julia Keenan        	6-3, 6-0
20140228	460385	392863	H	   4	Niagara	Paulina Velasquez   	Binghamton	Shea Brodsky        	6-1,6-3
20140228	406370	392800	H	   4	Buffalo	Laura Fernandez     	Colgate	Kaelin Brittin      	7-5, 6-4
20140228	437767	430795	H	   4	Bethune Cookman	Elizabeth Nyenwe    	South Alabama	Laura Matuskova     	7-6, 6-2
20140228	414997	422504	A	   4	Florida A&M	Dominique Henry     	Mercer	Liza Klyachkin      	6-4 5-7 6-1
20140228	392067	385887	A	   4	Drake	Nell Boyd           	Nebraska	Lisa Andersson      	6-3, 1-6, 6-2
20140228	448819	418158	H	   4	Northern Iowa	Astrid Santos       	Upper Iowa	Kelly Jachynowski   	6-2, 6-0
20140228	388501	460675	H	   4	Boise State	Morgan Basil        	Idaho	Sophie Vickers      	4-6, 7-6 (7-2), 1-0 (10-6)
20140228	453034	438664	H	   4	New Mexico	Natasha Smith       	Colorado	Nuria Ormeno Ruiz   	6-4, 2-6, 6-3
20140228	423789	404547	A	   4	Auburn	Michala Kucharova   	Ole Miss	Mai El Kamash       	6-4, 7-5
20140228	439103	429305	H	   4	Florida	Sofie Oyen          	Texas A&M	Anna Mamalat        	6-1, 6-3
20140228	439058	434796	A	   4	LSU	Abigail Owens       	Kentucky	Edmée Morin-Kougoucheff	6-1, 2-6, 6-4
20140228	445187	430044	A	   4	Missouri	Madison Rhyner      	Wofford	Catherine Martin    	6-3, 6-1
20140228	390871	445187	H	   4	South Carolina	Meghan Blevins      	Missouri	Madison Rhyner      	6-3, 6-1
20140228	433659	431905	H	   4	Vanderbilt	Lauren Mira         	Arkansas	Sarah McLean        	6-1, 7-5
20140228	407196	395922	H	   4	Chattanooga	Alexa Flynn         	UAB	Paula Castro        	6-4, 6-1
20140228	452416	391246	A	   4	Nicholls State	Klara Skopac        	UNC Asheville	Christine Boissevain	6-3, 7-5
20140228	438660	395124	N	   4	Alabama State	Brankica Orlovic    	Arkansas Pine Bluff	Fabiola Cardos      	6-4, 6-3
20140228	442624	446545	N	   4	Alcorn State	Kate Potapova       	Alabama A&M	Keshia Rogers       	6-2 6-0
20140228	395124	442624	N	   4	Arkansas Pine Bluff	Fabiola Cardos      	Alcorn State	Kate Potapova       	6-4 6-1
20140228	386048	453703	H	   4	Jackson State	Julie Angermann     	Grambling	Shaunte Southern    	6-2,6-1
20140228	444505	457426	H	   4	Jackson State	Harshini Reddy      	Prairie View A&M	Sydney Thomas       	7-6(3), 6-2
20140228	456805	446140	H	   4	Southern	Morgan Taylor       	Alabama A&M	TAsia Robinson      	6-0, 6-2
20140228	456805	453703	N	   4	Southern	Morgan Taylor       	Grambling	Shaunte Southern    	6-1, 2-6, 1-0
20140228	386536	411959	H	   4	Appalachian State	Brianna Armellino   	East Carolina	Emily Groeneveld    	6-2 6-2
20140228	456739	428332	H	   4	Army	Della Taylor        	NJIT	Jana Luste          	7-5 6-2
20140228	451579	457066	A	   4	New Mexico State	Ashvarya Shrivastava	Stephen F. Austin	Valeria Terentyeva  	6-3 6-3
20140228	454405	459739	H	   4	UTRGV	Katia Stavroulaki   	Grand Canyon	Frederique Van De Velde	6-3, 6-3
20140228	391660	385687	H	   4	UTRGV	Heather Borsos      	Texas A&M-Kingsville	Eleni Anastasova    	6-0, 5-1 Ret.
20140228	389321	425504	A	   5	Cincinnati	Lauren Bellinger    	Connecticut	Jennifer Learmonth  	6-1, 6-4
20140228	455131	457187	A	   5	East Carolina	Maria Storozheva    	Appalachian State	Jessica Thaggard    	6-3 3-6 6-3
20140228	385590	392771	A	   5	Binghamton	Agatha Ambrozy      	Niagara	Brooke Briseno      	6-4,6-1
20140228	451289	436396	H	   5	Dayton	Katie Shepherd      	Northern Kentucky	Sierra Nellessen    	75, 3-6, 1-0
20140228	395073	391124	H	   5	Duquesne	Spencer Caravaggio  	George Mason	Marijke Boers       	6-1, 6-3
20140228	410190	412114	N	   5	UMass	Chanel Glasper      	Fordham	Destiny Grunin      	6-3 6-4
20140228	432926	413378	H	   5	Clemson	Yui-Lynn Miao       	N.C. State	Elisha Hande        	6-4, 6-0
20140228	420187	397760	H	   5	Duke	Rachel Kahan        	Notre Dame	Mary Closs          	6-3, 6-0
20140228	386197	449534	A	   5	Georgia Tech	Alexa Anton-Ohlmeyer	Florida State	Kristina Schleich   	5-7, 6-2, 1-0 (16-14)
20140228	391315	448317	H	   5	Miami (FL)	Melissa Bolivar     	Boston College	Heini Salonen       	6-4, 6-0
20140228	460639	409049	H	   5	North Carolina	Kate Vialle         	Wake Forest	Kasey Gardiner      	6-3, 6-1
20140228	463430	392504	H	   5	Pittsburgh	Molly Wickman       	Maryland	Olga Bredikhina     	6-3, 7-6 (7-3)
20140228	433751	387312	A	   5	Virginia Tech	Raluca Mita         	Syracuse	Breanna Bachini     	6-1, 6-2
20140228	442084	400980	A	   5	Kennesaw State	Tamara Plocher      	Troy	Margot De Haan      	6-4, 2-6, 1-0 (10-3)
20140228	432643	444513	H	   5	Iowa State	Talisa Merchiers    	South Dakota	Yamini Reddy        	4-6, 6-2, 1-0(4)
20140228	432643	464475	H	   5	Iowa State	Talisa Merchiers    	Bradley	Cassia Wojtalik     	6-0, 6-0
20140228	403424	390810	H	   5	Kansas	Claire Dreyer       	Wichita State	Veronika Blaskova   	6-3, 6-2
20140228	439204	447626	H	   5	Texas	Lina Padegimaite    	Houston	Tina Rupert         	6-2, 4-6, 6-2
20140228	455575	385455	A	   5	DePaul	Zaina Sufi          	Northern Illinois	Cristina Alvarez    	6-1,6-1
20140228	388039	458244	A	   5	Idaho	Belen Barcenilla    	Boise State	Milena Toseva       	6-4, 7-5
20140228	427456	452257	N	   5	Sacramento State	Sophie Lohscheidt   	TCU	Monika Sirilova     	7-6, 6-2
20140228	405530	447318	A	   5	Charleston Southern	Meagan Evans        	Columbia (SC)	Lydia Royals        	6-0, 6-2
