date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160324	421620	435445	A	   6	Idaho State	Haseeb Khan         	Arizona Christian	Michael Mungia      	6-4,4-6,10-5
20160324	453500	465423	A	   6	Montana	Tomasz Soltyka      	Southern Utah	Ben Yeacker         	6-1, 4-6, 1-0 (10-3)
20160324	421167	394113	H	   6	Presbyterian	Ben Kelley          	Liberty	David Bush          	6-2, 6-2
20160324	464439	442402	H	   6	Hawaii	Fabian Woehrl       	UC Irvine	Jonathan Poon       	6-2 6-4
20160324	419956	440052	A	   6	UC Riverside	Anderson Ju         	UC Irvine	Anil Patel          	6-2, 6-2
20160324	398792	457891	A	   6	UCSD	Adrian Cordova      	Sonoma State	Kevin To            	6-1, 7-5
20160324	411228	429415	A	   6	Dartmouth	Eddie Grabill       	Memphis	Shakeel Manji       	6-1, 6-2
20160324	402243	398963	N	   6	S.C. State	Edgar Diaz          	DePaul	Tim Corwin          	6-2, 6-1
20160324	454486	427346	A	   6	Illinois State	Dylan Steffens      	Louisville	Courtney Lock       	6-1, 7-5
20160324	400016	419975	N	   6	Grand Canyon	Justin Cvitanovic   	UTRGV	Cosme Jubera        	6-2 6-3
20160324	386835	384969	H	   6	New Mexico State	Enrique Asmar       	Seattle	Matt Alderson       	6-4, 6-2
20160325	397335	412748	H	   1	South Florida	Roberto Cid         	Pepperdine	Guilherme Hadlich   	6-0, 6-4
20160325	459139	421634	H	   1	George Washington	Julius Tverijonas   	Georgetown	Daniel Khanin       	6-4, 6-2
20160325	406018	397449	A	   1	Clemson	Alex Favrot         	North Carolina	Brett Clark         	6-4, 6-2
20160325	416685	432060	H	   1	N.C. State	Nick Horton         	Boston College	Aidan McNulty       	6-1, 6-1
20160325	434127	450972	A	   1	Notre Dame	Quentin Monaghan    	Virginia	Ryan Shane          	6-7, 7-5, 1-0
20160325	434247	385480	A	   1	Virginia Tech	Joao Monteiro       	Duke	Nicolas Alvarez     	7-6 (5), 6-4
20160325	429506	427472	A	   1	Wake Forest	Skander Mansouri    	Miami (FL)	Piotr Lomacki       	6-4, 6-3
20160325	433808	460477	H	   1	Lipscomb	Rob Mitchell        	Florida Gulf Coast	Ricky Ventura       	6-1,6-2
20160325	401249	458290	H	   1	North Alabama	Guillaume Dechoz    	Shorter	Louis Tourtois      	6-2, 6-0
20160325	391460	427848	A	   1	Portland State	Nathan Boniel       	Sacramento State	Mikus Losbergs      	6-2, 7-5
20160325	395826	395021	A	   1	Longwood	Alfonso Castellano  	George Mason	Aaron Capitel       	6-4, 6-3
20160325	433818	449316	H	   1	Winthrop	Tremayne Mitchell   	Campbell	Lukas Schaefer      	6-4 6-4
20160325	392082	453814	A	   1	Nebraska	Dusty Boyer         	Minnesota	Matic Spec          	6-4, 7-6 (6)
20160325	458151	447313	A	   1	Ohio State	Mikael Torpegaard   	Michigan State	Mac Roy             	6-3, 6-1
20160325	454174	429181	A	   1	Penn State	Leonard Stakhovsky  	Michigan	Jathan Malik        	3-6, 6-1, 6-1
20160325	428758	466268	H	   1	Purdue	Gergely Madarasz    	Northwestern	Konrad Zieba        	6-2, 6-4
20160325	384862	447508	A	   1	Hawaii	Felix Albert        	UC Riverside	Julian Ruffin       	3-6, 7-5, 4-6
20160325	405242	392035	A	   1	UC Santa Barbara	Nathan Eshmade      	Loyola Marymount	Charles Boyce       	7-6, 6-2
20160325	405377	456543	A	   1	College of Charleston	Juan Estevarena     	East Carolina	Tendai Tapfuma      	6-3, 6-3
20160325	452978	442721	H	   1	Hofstra	Marcus Smith        	Sacred Heart	Brian Power         	6-4, 6-4
20160325	426217	447918	H	   1	UNC Wilmington	Santtu Leskinnen    	Drexel	Xabier Saavedra     	6-1,6-1
20160325	429988	466601	A	   1	UAB	Mitchell Martell    	Middle Tennessee	Dima Zyhmantovich   	7-6 (7-4), 0-6, 6-4
20160325	460938	434960	A	   1	Northern Kentucky	Mate Virag          	Youngstown State	Hugo Morth          	6-4,6-1
20160325	408273	470297	H	   1	Niagara	Felipe Fuentes      	Rider	Diego Delgado       	6-1, 6-4
20160325	385723	414446	H	   1	Ball State	Lucas Andersen      	Binghamton	Sidhartha Hazarika  	7-6(7),6-2
20160325	421023	429532	H	   1	Western Michigan	Jefta Kecic         	Northern Illinois	Carlos Manzanas     	6-1, 6-1
20160325	472924	407687	H	   1	Norfolk State	Benedict Henning    	Coppin State	Gabriel Franca      	6-0 ,6-2
20160325	439622	398253	H	   1	Fresno State	Nikolas Papic       	Holy Names	Hugo Colpart        	4-6, 6-4, 6-4
20160325	439622	416430	H	   1	Fresno State	Nikolas Papic       	Sonoma State	Daniel Holz         	6-0, retired
20160325	459849	392398	N	   1	New Mexico	Bart Van Leijsen    	Montana	Semion Branzburg    	7-5, 6-4
